token,count,percent,tags,tag_percentages
၃ရက်,49,0.14%,PERIOD:49,PERIOD:100.00%
ချင်း,48,0.14%,CROP:48,CROP:100.00%
တစ်မျိုး,48,0.14%,COUNT:48,COUNT:100.00%
နေပူ,47,0.13%,WEATHER:47,WEATHER:100.00%
ဖစ်ပရိုနေးလ်,47,0.13%,PESTI:47,PESTI:100.00%
ဘိုရွန်,47,0.13%,NUT:47,NUT:100.00%
မြေပဲ,47,0.13%,CROP:47,CROP:100.00%
အေဇိုလာ,47,0.13%,CROP:47,CROP:100.00%
ငရုတ်,46,0.13%,CROP:46,CROP:100.00%
လက်ချား,46,0.13%,NUT:24; FERT:22,NUT:52.17%; FERT:47.83%
ဂျစ်ဆမ်,45,0.13%,FERT:45,FERT:100.00%
စပါးပင်,45,0.13%,CROP:45,CROP:100.00%
ဆာလဖာ,45,0.13%,NUT:43; FUNG:2,NUT:95.56%; FUNG:4.44%
မြေဩဇာကျွေး,45,0.13%,FARM_OP:45,FARM_OP:100.00%
ရာသီဥတု,45,0.13%,WEATHER:45,WEATHER:100.00%
ဝါ,45,0.13%,SYM:32; CROP:13,SYM:71.11%; CROP:28.89%
နေကြာ,43,0.12%,CROP:43,CROP:100.00%
ယင်ဖြူ,43,0.12%,PEST:43,PEST:100.00%
သင်္ဘောပင်,43,0.12%,CROP:43,CROP:100.00%
ကွမ်း,42,0.12%,CROP:42,CROP:100.00%
နွားသေး,42,0.12%,FERT:40; PESTI:2,FERT:95.24%; PESTI:4.76%
ပိုးသတ်ဆေး,42,0.12%,PESTI:42,PESTI:100.00%
ဖုံးအုပ်,42,0.12%,FARM_OP:42,FARM_OP:100.00%
ဝတ်မှုန်ကူး,42,0.12%,FARM_OP:42,FARM_OP:100.00%
မိုးရွာ,41,0.12%,WEATHER:41,WEATHER:100.00%
အဇိုစီစထရိုဘင်,41,0.12%,FUNG:41,FUNG:100.00%
ကိုင်းဆက်,40,0.11%,FARM_OP:38; METHOD:2,FARM_OP:95.00%; METHOD:5.00%
ဂျစ်ဆန်,40,0.11%,FERT:40,FERT:100.00%
နွေ,40,0.11%,SEASON:40,SEASON:100.00%
ဖျန်းပက်,40,0.11%,FARM_OP:40,FARM_OP:100.00%
တစ်နှစ်,39,0.11%,PERIOD:38; PER:1,PERIOD:97.44%; PER:2.56%
တည်သီး,39,0.11%,CROP:39,CROP:100.00%
ဘစ်စမာသိုင်ယာဇိုး,39,0.11%,FUNG:39,FUNG:100.00%
ကာဘင်ဒါဇင်,38,0.11%,FUNG:38,FUNG:100.00%
ကြက်သွန်နီ,38,0.11%,CROP:38,CROP:100.00%
ခြောက်,38,0.11%,SYM:38,SYM:100.00%
ဖရဲ,38,0.11%,CROP:38,CROP:100.00%
မျိုးကိုင်း,38,0.11%,CROP_PART:37; SEED:1,CROP_PART:97.37%; SEED:2.63%
လက်ဖက်,38,0.11%,CROP:38,CROP:100.00%
ငါးအမိုင်နို,37,0.11%,FERT:37,FERT:100.00%
ရောစပ်,37,0.11%,FARM_OP:37,FARM_OP:100.00%
သကြားဓာတ်,37,0.11%,NUT:37,NUT:100.00%
အောက်တိုဘာ,37,0.11%,TIME:37,TIME:100.00%
ကြက်သွန်,36,0.10%,CROP:36,CROP:100.00%
ခူး,36,0.10%,FARM_OP:36,FARM_OP:100.00%
ထည့်,36,0.10%,FARM_OP:36,FARM_OP:100.00%
ထုတ်လုပ်,36,0.10%,FARM_OP:36,FARM_OP:100.00%
မိုး,36,0.10%,WEATHER:20; SEASON:16,WEATHER:55.56%; SEASON:44.44%
မြက်,36,0.10%,WEED:36,WEED:100.00%
သခွား,36,0.10%,CROP:36,CROP:100.00%
အုန်း,36,0.10%,CROP:36,CROP:100.00%
၇ရက်,36,0.10%,PERIOD:36,PERIOD:100.00%
မြေဩဇာ,35,0.10%,FERT:35,FERT:100.00%
သစ်ခွ,35,0.10%,CROP:35,CROP:100.00%
၁၀ရက်,35,0.10%,PERIOD:35,PERIOD:100.00%
ကေဟူးမစ်,34,0.10%,FERT:34,FERT:100.00%
ကြက်သွန်ဖြူ,34,0.10%,CROP:34,CROP:100.00%
ကြံပင်,34,0.10%,CROP:34,CROP:100.00%
ညှိုး,34,0.10%,SYM:34,SYM:100.00%
တစ်ပတ်,34,0.10%,PERIOD:34,PERIOD:100.00%
ဓား,34,0.10%,EQUIP:34,EQUIP:100.00%
နိုဝင်ဘာ,34,0.10%,TIME:34,TIME:100.00%
ပျပိုး,34,0.10%,PEST:34,PEST:100.00%
ပျိုးအိတ်,34,0.10%,EQUIP:33; SEED:1,EQUIP:97.06%; SEED:2.94%
ဖျက်ပိုး,34,0.10%,PEST:34,PEST:100.00%
ရိတ်သိမ်းခြင်း,34,0.10%,FARM_OP:34,FARM_OP:100.00%
အာဟာရဓာတ်,34,0.10%,NUT:34,NUT:100.00%
၁၅ရက်,34,0.10%,PERIOD:34,PERIOD:100.00%
စိုထိုင်းဆ,33,0.09%,WEATHER:20; HUM:13,WEATHER:60.61%; HUM:39.39%
ထရိုင်ကိုဒါးမား,33,0.09%,FUNG:33,FUNG:100.00%
မိုက်ခရိုဂရင်း,33,0.09%,CROP:33,CROP:100.00%
အပူ,33,0.09%,WEATHER:33,WEATHER:100.00%
ဇန်နဝါရီ,32,0.09%,TIME:32,TIME:100.00%
တစ်အိတ်,32,0.09%,COUNT:21; QTY:11,COUNT:65.62%; QTY:34.38%
ဖေဖော်ဝါရီ,32,0.09%,TIME:32,TIME:100.00%
အခြောက်ခံ,32,0.09%,FARM_OP:32,FARM_OP:100.00%
အာလူး,32,0.09%,CROP:32,CROP:100.00%
၆လက်မ,32,0.09%,DIST:32,DIST:100.00%
ကွန်ပေါင်းမြေဩဇာ,31,0.09%,FERT:31,FERT:100.00%
စိုစွတ်,31,0.09%,WEATHER:31,WEATHER:100.00%
ပြောင်းရွှေ့စိုက်ပျိုး,31,0.09%,FARM_OP:31,FARM_OP:100.00%
သဘာဝမြေဩဇာ,31,0.09%,FERT:31,FERT:100.00%
အဆီတာမီပရစ်,31,0.09%,PESTI:31,PESTI:100.00%
အိုး,31,0.09%,EQUIP:31,EQUIP:100.00%
စိမ်,30,0.09%,FARM_OP:30,FARM_OP:100.00%
ဆေးဖျန်းပုံး,30,0.09%,EQUIP:30,EQUIP:100.00%
နုန်းမြေ,30,0.09%,SOIL_TYPE:30,SOIL_TYPE:100.00%
ပန်းခိုင်,30,0.09%,CROP_PART:30,CROP_PART:100.00%
အညွန့်,30,0.09%,CROP_PART:30,CROP_PART:100.00%
ကန်စွန်း,29,0.08%,CROP:29,CROP:100.00%
ငွေနှင်းမှို,29,0.08%,CROP:29,CROP:100.00%
စစ်ဆေး,29,0.08%,FARM_OP:29,FARM_OP:100.00%
ထယ်ထိုး,29,0.08%,FARM_OP:29,FARM_OP:100.00%
အဗာမက်တင်,29,0.08%,PESTI:29,PESTI:100.00%
၃ပေ,29,0.08%,DIST:29,DIST:100.00%
ဖူး,28,0.08%,CROP_PART:28,CROP_PART:100.00%
အဖူးကူး,28,0.08%,FARM_OP:28,FARM_OP:100.00%
ကြဲပက်,27,0.08%,FARM_OP:27,FARM_OP:100.00%
စက်တင်ဘာ,27,0.08%,TIME:27,TIME:100.00%
စိုက်ချိန်,27,0.08%,TIME:27,TIME:100.00%
ဆန်,27,0.08%,FOOD:27,FOOD:100.00%
ဒီဇင်ဘာ,27,0.08%,TIME:27,TIME:100.00%
ပရိုဖီနိုဖော့,27,0.08%,PESTI:27,PESTI:100.00%
ပေါင်းသတ်ဆေး,27,0.08%,HERB:27,HERB:100.00%
အန်ပီကေ,27,0.08%,NUT:27,NUT:100.00%
အီမီဒါကလိုပရစ်,27,0.08%,PESTI:27,PESTI:100.00%
ကော့ပါး,26,0.07%,NUT:15; FUNG:11,NUT:57.69%; FUNG:42.31%
ဇင့်,26,0.07%,NUT:26,NUT:100.00%
ပင်ခြေ,26,0.07%,CROP_PART:26,CROP_PART:100.00%
အခေါက်,26,0.07%,CROP_PART:26,CROP_PART:100.00%
၂ကြိမ်,26,0.07%,COUNT:25; PERIOD:1,COUNT:96.15%; PERIOD:3.85%
ခင်း,25,0.07%,LOC:25,LOC:100.00%
ခရမ်း,25,0.07%,CROP:25,CROP:100.00%
ဆေးလောင်,25,0.07%,SYM:24; ABIOD:1,SYM:96.00%; ABIOD:4.00%
ပိုတက်ဆီယမ်,25,0.07%,NUT:25,NUT:100.00%
ဘူး,25,0.07%,CROP:25,CROP:100.00%
မြေဆွ,25,0.07%,FARM_OP:25,FARM_OP:100.00%
သီးတောင့်,25,0.07%,CROP_PART:25,CROP_PART:100.00%
၁ပေ,25,0.07%,DIST:25,DIST:100.00%
၁ဧက,25,0.07%,DIST:15; QTY:9; DIS:1,DIST:60.00%; QTY:36.00%; DIS:4.00%
ကလိုရိုသာလိုနေး,24,0.07%,FUNG:24,FUNG:100.00%
ထွန်,24,0.07%,EQUIP:15; FARM_OP:9,EQUIP:62.50%; FARM_OP:37.50%
ပဲ,24,0.07%,CROP:24,CROP:100.00%
မိုးဦး,24,0.07%,SEASON:21; TIME:3,SEASON:87.50%; TIME:12.50%
မြေထုပ်စည်း,24,0.07%,FARM_OP:22; METHOD:2,FARM_OP:91.67%; METHOD:8.33%
မြေပြုပြင်,24,0.07%,FARM_OP:24,FARM_OP:100.00%
မြေသြဇာ,24,0.07%,FERT:24,FERT:100.00%
မှိုသတ်ဆေး,24,0.07%,FUNG:24,FUNG:100.00%
လှေး,24,0.07%,PEST:24,PEST:100.00%
ဟင်းသီးဟင်းရွက်,24,0.07%,FOOD:24,FOOD:100.00%
အလင်းရောင်,24,0.07%,WEATHER:24,WEATHER:100.00%
၅ရက်,24,0.07%,PERIOD:24,PERIOD:100.00%
ကိုင်းကူး,23,0.07%,FARM_OP:23,FARM_OP:100.00%
ကြံမျိုးပိုင်း,23,0.07%,SEED:23,SEED:100.00%
ဆစ်ပိုး,23,0.07%,PEST:23,PEST:100.00%
ထွန်ယက်,23,0.07%,FARM_OP:23,FARM_OP:100.00%
ပရိုပီကိုနာဇိုး,23,0.07%,FUNG:23,FUNG:100.00%
ပိုး,23,0.07%,PEST:23,PEST:100.00%
ပေါင်းပင်,23,0.07%,WEED:23,WEED:100.00%
ဖရုံ,23,0.07%,CROP:23,CROP:100.00%
အခွံ,23,0.07%,CROP_PART:23,CROP_PART:100.00%
အမိုင်နို,23,0.07%,FERT:21; NUT:2,FERT:91.30%; NUT:8.70%
အိန္ဒိယ,23,0.07%,LOC:23,LOC:100.00%
ခရမ်းချဥ်,22,0.06%,CROP:22,CROP:100.00%
ဂျင်း,22,0.06%,CROP:22,CROP:100.00%
ငါးအမိုင်နိုအက်စစ်,22,0.06%,FERT:22,FERT:100.00%
ဇွန်,22,0.06%,TIME:17; CROP:5,TIME:77.27%; CROP:22.73%
တီဘူကိုနာဇိုး,22,0.06%,FUNG:22,FUNG:100.00%
ဒိုင်မီသိုမော့,22,0.06%,FUNG:22,FUNG:100.00%
ပန်းပွင့်ချိန်,22,0.06%,TIME:22,TIME:100.00%
ပဲပင်,22,0.06%,CROP:22,CROP:100.00%
ပဲပုပ်,22,0.06%,CROP:22,CROP:100.00%
ပြောင်းရွှေ့စိုက်,22,0.06%,FARM_OP:22,FARM_OP:100.00%
ဖြတ်တောက်,22,0.06%,FARM_OP:22,FARM_OP:100.00%
မေလ,22,0.06%,TIME:22,TIME:100.00%
ယာစပါး,22,0.06%,CROP:22,CROP:100.00%
သဲမြေ,22,0.06%,SOIL_TYPE:22,SOIL_TYPE:100.00%
၈လက်မ,22,0.06%,DIST:22,DIST:100.00%
ကလိုရန်ထရာနီလီပရိုး,21,0.06%,PESTI:21,PESTI:100.00%
ကိုင်းဖြတ်ခြင်း,21,0.06%,FARM_OP:21,FARM_OP:100.00%
ကြက်ချေး,21,0.06%,FERT:21,FERT:100.00%
ခါးရိရောဂါ,21,0.06%,DIS:21,DIS:100.00%
ချဉ်ပေါင်,21,0.06%,CROP:21,CROP:100.00%
စိုက်ပျိုးထုတ်လုပ်,21,0.06%,FARM_OP:21,FARM_OP:100.00%
ဓာတ်မြေဩဇာ,21,0.06%,FERT:21,FERT:100.00%
မိုးရေချိန်,21,0.06%,WEATHER:21,WEATHER:100.00%
မေ,21,0.06%,TIME:21,TIME:100.00%
မြေစာဥ,21,0.06%,CROP:21,CROP:100.00%
ရိုးတံ,21,0.06%,CROP_PART:21,CROP_PART:100.00%
ရေပေးသွင်း,21,0.06%,FARM_OP:21,FARM_OP:100.00%
ရွက်,21,0.06%,CROP_PART:21,CROP_PART:100.00%
ရှမ်းပြည်နယ်,21,0.06%,LOC:21,LOC:100.00%
သိုင်ယာမီသောက်ဇမ်,21,0.06%,PESTI:21,PESTI:100.00%
ဟူးမစ်,21,0.06%,FERT:21,FERT:100.00%
အစိမ်းရောင်လမ်း,21,0.06%,ORG:21,ORG:100.00%
အဆီဖိတ်,21,0.06%,PESTI:19; NUT:2,PESTI:90.48%; NUT:9.52%
အတက်,21,0.06%,CROP_PART:21,CROP_PART:100.00%
၂လ,21,0.06%,PERIOD:21,PERIOD:100.00%
၄လက်မ,21,0.06%,DIST:21,DIST:100.00%
ကယ်လ်ဆီယမ်,20,0.06%,NUT:20,NUT:100.00%
ချဉ်စော်ကား,20,0.06%,CROP:20,CROP:100.00%
ညနေ,20,0.06%,TIME:20,TIME:100.00%
ထယ်,20,0.06%,EQUIP:20,EQUIP:100.00%
ထိန်းသိမ်း,20,0.06%,FARM_OP:20,FARM_OP:100.00%
ရို့စ်မေရီ,20,0.06%,CROP:20,CROP:100.00%
ရွက်ထွင်းပိုး,20,0.06%,PEST:20,PEST:100.00%
လူးနယ်,20,0.06%,FARM_OP:20,FARM_OP:100.00%
အဇိုဇီစထရိုဘင်,20,0.06%,FUNG:20,FUNG:100.00%
အာဟာရ,20,0.06%,NUT:20,NUT:100.00%
အေးမြ,20,0.06%,WEATHER:20,WEATHER:100.00%
၁၅ပတ်လည်,20,0.06%,FERT:20,FERT:100.00%
၃လက်မ,20,0.06%,DIST:20,DIST:100.00%
၆လ,20,0.06%,PERIOD:20,PERIOD:100.00%
ကယ်လ်စီယမ်,19,0.05%,NUT:19,NUT:100.00%
ခရမ်းချဉ်ပင်,19,0.05%,CROP:19,CROP:100.00%
ထွန်မွှေ,19,0.05%,FARM_OP:19,FARM_OP:100.00%
ဒိုင်လေး,19,0.05%,PESTI:19,PESTI:100.00%
ပိုးမွှားရောဂါ,19,0.05%,DIS:19,DIS:100.00%
မဂ္ဂနီဆီယမ်,19,0.05%,NUT:19,NUT:100.00%
မုန်လာဥနီ,19,0.05%,CROP:19,CROP:100.00%
မြေဖုံး,19,0.05%,FARM_OP:19,FARM_OP:100.00%
သဲနုန်းမြေ,19,0.05%,SOIL_TYPE:19,SOIL_TYPE:100.00%
အင်းဆက်,19,0.05%,PEST:19,PEST:100.00%
အပင်လောင်,19,0.05%,SYM:19,SYM:100.00%
၃နှစ်,19,0.05%,PERIOD:19,PERIOD:100.00%
ကုလားပဲ,18,0.05%,CROP:18,CROP:100.00%
ဆိုက်ပါမီသရင်,18,0.05%,PESTI:18,PESTI:100.00%
ပိန္နဲ,18,0.05%,CROP:18,CROP:100.00%
ပျ,18,0.05%,PEST:18,PEST:100.00%
မက်တယ်လက်ဇီး,18,0.05%,FUNG:18,FUNG:100.00%
မီးရှို့,18,0.05%,FARM_OP:18,FARM_OP:100.00%
မွှားပင့်ကူ,18,0.05%,PEST:18,PEST:100.00%
သဘာဝမြေဆွေး,18,0.05%,FERT:18,FERT:100.00%
သီးလုံးဖောက်ပိုး,18,0.05%,PEST:18,PEST:100.00%
အင်မီဒါကလိုပရစ်,18,0.05%,PESTI:18,PESTI:100.00%
အာဟာရချို့တဲ့,18,0.05%,SYM:18,SYM:100.00%
၁လ,18,0.05%,PERIOD:18,PERIOD:100.00%
၂၀လီတာ,18,0.05%,QTY:18,QTY:100.00%
စက်မှုလျှော်,17,0.05%,CROP:17,CROP:100.00%
ဆားခါး,17,0.05%,FERT:13; NUT:4,FERT:76.47%; NUT:23.53%
ထိပ်ဖျား,17,0.05%,CROP_PART:17,CROP_PART:100.00%
နွားချေးဆွေး,17,0.05%,FERT:17,FERT:100.00%
နှစ်ကြိမ်,17,0.05%,COUNT:16; PERIOD:1,COUNT:94.12%; PERIOD:5.88%
ပဲယင်း,17,0.05%,CROP:17,CROP:100.00%
ပျက်စီး,17,0.05%,SYM:17,SYM:100.00%
ဖြုတ်ပိုး,17,0.05%,PEST:17,PEST:100.00%
ဘိုကိတ်ပဲ,17,0.05%,CROP:17,CROP:100.00%
ရွက်ခြောက်ရောဂါ,17,0.05%,DIS:16; SYM:1,DIS:94.12%; SYM:5.88%
ရွက်ဖျန်း,17,0.05%,FERT:11; FARM_OP:6,FERT:64.71%; FARM_OP:35.29%
အစေ့များ,17,0.05%,SEED:17,SEED:100.00%
အပင်ပေါက်,17,0.05%,SYM:17,SYM:100.00%
အအေးဒဏ်,17,0.05%,ABIOD:17,ABIOD:100.00%
၂ရက်,17,0.05%,PERIOD:17,PERIOD:100.00%
၂လက်မ,17,0.05%,DIST:17,DIST:100.00%
၄ဇွန်း,17,0.05%,QTY:16; COUNT:1,QTY:94.12%; COUNT:5.88%
ကာဆူဂါမိုင်စင်,16,0.05%,FUNG:16,FUNG:100.00%
ဇွန်း,16,0.05%,QTY:16,QTY:100.00%
တစ်ကျင်း,16,0.05%,COUNT:16,COUNT:100.00%
တစ်စေ့,16,0.05%,COUNT:16,COUNT:100.00%
တစ်ပုံး,16,0.05%,COUNT:14; EQUIP:1; QTY:1,COUNT:87.50%; EQUIP:6.25%; QTY:6.25%
တူး,16,0.05%,FARM_OP:16,FARM_OP:100.00%
ထုံး,16,0.05%,FERT:16,FERT:100.00%
နှမ်းလျင်,16,0.05%,CROP:16,CROP:100.00%
ပီလောပီနံ,16,0.05%,CROP:16,CROP:100.00%
ပဲတောင့်ရှည်,16,0.05%,CROP:16,CROP:100.00%
ရေဝပ်ခြင်း,16,0.05%,ABIOD:15; SYM:1,ABIOD:93.75%; SYM:6.25%
ရွှေ့ပြောင်းစိုက်,16,0.05%,FARM_OP:16,FARM_OP:100.00%
သင်္ဘော,16,0.05%,CROP:16,CROP:100.00%
အရွက်စားဂန္ဓမာ,16,0.05%,CROP:16,CROP:100.00%
အအေး,16,0.05%,WEATHER:16,WEATHER:100.00%
၄ပေ,16,0.05%,DIST:16,DIST:100.00%
ကယ်လစီယမ်,15,0.04%,NUT:15,NUT:100.00%
ဆူးပုပ်,15,0.04%,CROP:15,CROP:100.00%
ပုရွက်ဆိတ်,15,0.04%,PEST:15,PEST:100.00%
ပူနွေး,15,0.04%,WEATHER:15,WEATHER:100.00%
ပေါင်းနှိမ်နင်း,15,0.04%,FARM_OP:15,FARM_OP:100.00%
ဖားဥမှိုရောဂါ,15,0.04%,DIS:15,DIS:100.00%
မတ်,15,0.04%,TIME:15,TIME:100.00%
မနက်,15,0.04%,TIME:15,TIME:100.00%
မန်ဂျန်ရှား,15,0.04%,CROP:15,CROP:100.00%
မိုးနှောင်း,15,0.04%,SEASON:14; TIME:1,SEASON:93.33%; TIME:6.67%
မိုးရွာသွန်းမှု,15,0.04%,WEATHER:15,WEATHER:100.00%
မြေပြင်ခြင်း,15,0.04%,FARM_OP:15,FARM_OP:100.00%
ရေငတ်ဒဏ်,15,0.04%,ABIOD:15,ABIOD:100.00%
လှန်း,15,0.04%,FARM_OP:15,FARM_OP:100.00%
သံဓာတ်,15,0.04%,NUT:15,NUT:100.00%
၂ပတ်,15,0.04%,PERIOD:15,PERIOD:100.00%
၂ပေ,15,0.04%,DIST:15,DIST:100.00%
၆ပေ,15,0.04%,DIST:15,DIST:100.00%
ကန့်,14,0.04%,NUT:14,NUT:100.00%
ကြွေ,14,0.04%,SYM:14,SYM:100.00%
စပိုင်နိုဆက်,14,0.04%,PESTI:14,PESTI:100.00%
စိုက်ခန်း,14,0.04%,EQUIP:14,EQUIP:100.00%
တကြိမ်,14,0.04%,COUNT:14,COUNT:100.00%
တစ်ဇွန်း,14,0.04%,QTY:11; COUNT:3,QTY:78.57%; COUNT:21.43%
နီမတုတ်,14,0.04%,PEST:10; DIS:2; PATH:2,PEST:71.43%; DIS:14.29%; PATH:14.29%
နှစ်မျိုး,14,0.04%,COUNT:14,COUNT:100.00%
ပေါင်းရှင်း,14,0.04%,FARM_OP:14,FARM_OP:100.00%
ပြောင်းဖူး,14,0.04%,CROP:14,CROP:100.00%
