token,count,percent,tags,tag_percentages
ပျိုးထောင်,127,0.18%,FARM_OP:127,FARM_OP:100.00%
မှာ,126,0.18%,O:126,O:100.00%
သည်,125,0.17%,O:125,O:100.00%
ဆေးဖျန်း,122,0.17%,FARM_OP:122,FARM_OP:100.00%
နွားချေး,122,0.17%,FERT:122,FERT:100.00%
ဖြတ်,121,0.17%,FARM_OP:121,FARM_OP:100.00%
နိုင်ပါသည်။,120,0.17%,O:120,O:100.00%
မျိုးပွား,119,0.17%,FARM_OP:118; O:1,FARM_OP:99.16%; O:0.84%
ခရမ်းချဉ်,116,0.16%,CROP:116,CROP:100.00%
ထည့်,116,0.16%,FARM_OP:111; O:5,FARM_OP:95.69%; O:4.31%
ခူးဆွတ်,113,0.16%,FARM_OP:113,FARM_OP:100.00%
ရေလောင်း,113,0.16%,FARM_OP:113,FARM_OP:100.00%
ပိုးမွှား,110,0.15%,PEST:110,PEST:100.00%
ရောဂါ,110,0.15%,DIS:100; O:10,DIS:90.91%; O:9.09%
တစ်ကြိမ်,107,0.15%,COUNT:107,COUNT:100.00%
လျှင်,106,0.15%,O:106,O:100.00%
ပိုတက်စီယမ်,105,0.15%,NUT:105,NUT:100.00%
ကိုင်းဖြတ်,104,0.15%,FARM_OP:96; CROP_PART:8,FARM_OP:92.31%; CROP_PART:7.69%
တစ်ပင်,104,0.15%,COUNT:104,COUNT:100.00%
နှင့်,101,0.14%,O:101,O:100.00%
ပက်ဖျန်း,100,0.14%,FARM_OP:100,FARM_OP:100.00%
တစ်ဧက,97,0.14%,DIST:50; QTY:40; O:7,DIST:51.55%; QTY:41.24%; O:7.22%
နိုင်ပါတယ်။,97,0.14%,O:97,O:100.00%
ပျိုးပင်,97,0.14%,SEED:96; O:1,SEED:98.97%; O:1.03%
တစ်ခု,96,0.13%,COUNT:96,COUNT:100.00%
က,94,0.13%,O:94,O:100.00%
ဖော့စဖရပ်,94,0.13%,NUT:94,NUT:100.00%
မြန်မာနိုင်ငံ,94,0.13%,LOC:94,LOC:100.00%
-,93,0.13%,O:92; NUT:1,O:98.92%; NUT:1.08%
များ,92,0.13%,O:90; HUM:1; WEATHER:1,O:97.83%; HUM:1.09%; WEATHER:1.09%
သိုလှောင်,89,0.12%,FARM_OP:89,FARM_OP:100.00%
အကိုင်း,88,0.12%,CROP_PART:88,CROP_PART:100.00%
မန်ကိုဇက်,87,0.12%,FUNG:87,FUNG:100.00%
မျက်လုံးဖူး,85,0.12%,CROP_PART:85,CROP_PART:100.00%
ယူရီးယား,84,0.12%,FERT:84,FERT:100.00%
ဂျုံ,83,0.12%,CROP:82; O:1,CROP:98.80%; O:1.20%
အဖူး,83,0.12%,CROP_PART:83,CROP_PART:100.00%
ပဲတီစိမ်း,82,0.11%,CROP:82,CROP:100.00%
သီး,82,0.11%,CROP_PART:69; O:13,CROP_PART:84.15%; O:15.85%
ခြောက်သွေ့,80,0.11%,WEATHER:67; SYM:13,WEATHER:83.75%; SYM:16.25%
ရသည်။,78,0.11%,O:78,O:100.00%
ပြောင်း,75,0.10%,CROP:75,CROP:100.00%
သို့မဟုတ်,75,0.10%,O:75,O:100.00%
ပျိုး,74,0.10%,FARM_OP:74,FARM_OP:100.00%
ဥ,73,0.10%,CROP_PART:72; O:1,CROP_PART:98.63%; O:1.37%
၍,73,0.10%,O:73,O:100.00%
အီးအမ်,70,0.10%,FERT:70,FERT:100.00%
ခြင်း,69,0.10%,O:69,O:100.00%
ပေါင်းမြက်,67,0.09%,WEED:67,WEED:100.00%
ကြသည်။,66,0.09%,O:66,O:100.00%
ရမည်။,66,0.09%,O:66,O:100.00%
သရက်,65,0.09%,CROP:65,CROP:100.00%
နွေရာသီ,64,0.09%,SEASON:64,SEASON:100.00%
အနှံ,64,0.09%,CROP_PART:64,CROP_PART:100.00%
ပင်,63,0.09%,O:62; CROP_PART:1,O:98.41%; CROP_PART:1.59%
ကာကွယ်,62,0.09%,FARM_OP:59; O:3,FARM_OP:95.16%; O:4.84%
ကော်ဖီ,62,0.09%,CROP:62,CROP:100.00%
ပန်း,62,0.09%,CROP_PART:32; CROP:28; O:2,CROP_PART:51.61%; CROP:45.16%; O:3.23%
ရေထုတ်,62,0.09%,FARM_OP:62,FARM_OP:100.00%
တွေ,60,0.08%,O:60,O:100.00%
ပါ,58,0.08%,O:54; FARM_OP:4,O:93.10%; FARM_OP:6.90%
ဆောင်း,57,0.08%,SEASON:57,SEASON:100.00%
တစ်လ,57,0.08%,PERIOD:57,PERIOD:100.00%
တီစူပါ,57,0.08%,FERT:57,FERT:100.00%
နေရောင်ခြည်,57,0.08%,WEATHER:56; O:1,WEATHER:98.25%; O:1.75%
ဘက်တီးရီးယား,57,0.08%,PATH:57,PATH:100.00%
မှိုရောဂါ,57,0.08%,DIS:57,DIS:100.00%
စိုက်ခင်း,56,0.08%,LOC:50; O:6,LOC:89.29%; O:10.71%
စုပ်စားပိုး,56,0.08%,PEST:56,PEST:100.00%
ရာသီဥတု,56,0.08%,WEATHER:45; O:11,WEATHER:80.36%; O:19.64%
မြေပြင်,55,0.08%,FARM_OP:55,FARM_OP:100.00%
သားတက်,55,0.08%,CROP_PART:54; SEED:1,CROP_PART:98.18%; SEED:1.82%
အဆစ်,55,0.08%,CROP_PART:54; O:1,CROP_PART:98.18%; O:1.82%
ပက်,54,0.08%,FARM_OP:53; O:1,FARM_OP:98.15%; O:1.85%
မိုးများ,54,0.08%,WEATHER:54,WEATHER:100.00%
လှေးပိုး,54,0.08%,PEST:54,PEST:100.00%
ငှက်ပျော,53,0.07%,CROP:53,CROP:100.00%
ပန်းပွင့်,53,0.07%,CROP_PART:53,CROP_PART:100.00%
ပိုတက်ရှ်,53,0.07%,FERT:53,FERT:100.00%
ဖယ်ရှား,53,0.07%,FARM_OP:53,FARM_OP:100.00%
အပွင့်,53,0.07%,CROP_PART:53,CROP_PART:100.00%
ဆွတ်ခူး,52,0.07%,FARM_OP:52,FARM_OP:100.00%
ထည့်သွင်း,52,0.07%,FARM_OP:52,FARM_OP:100.00%
နှိမ်နင်း,52,0.07%,FARM_OP:52,FARM_OP:100.00%
ရေဝပ်,52,0.07%,ABIOD:52,ABIOD:100.00%
ပိုတက်,51,0.07%,FERT:32; NUT:19,FERT:62.75%; NUT:37.25%
မိုးရာသီ,51,0.07%,SEASON:51,SEASON:100.00%
တစ်မျိုး,50,0.07%,COUNT:48; O:2,COUNT:96.00%; O:4.00%
ပါက,50,0.07%,O:50,O:100.00%
အမိုင်နိုအက်စစ်,50,0.07%,FERT:45; NUT:5,FERT:90.00%; NUT:10.00%
ကော့ပါးအောက်စီကလိုရိုက်,49,0.07%,FUNG:49,FUNG:100.00%
ဆောင်းရာသီ,49,0.07%,SEASON:49,SEASON:100.00%
ပုပ်,49,0.07%,SYM:49,SYM:100.00%
ဖြင့်,49,0.07%,O:49,O:100.00%
မြေဩဇာ,49,0.07%,FERT:35; O:14,FERT:71.43%; O:28.57%
၃ရက်,49,0.07%,PERIOD:49,PERIOD:100.00%
ချင်း,48,0.07%,CROP:48,CROP:100.00%
မြေပဲ,48,0.07%,CROP:47; O:1,CROP:97.92%; O:2.08%
နေပူ,47,0.07%,WEATHER:47,WEATHER:100.00%
ပိုးသတ်ဆေး,47,0.07%,PESTI:42; O:5,PESTI:89.36%; O:10.64%
ဖစ်ပရိုနေးလ်,47,0.07%,PESTI:47,PESTI:100.00%
ဘိုရွန်,47,0.07%,NUT:47,NUT:100.00%
အတွက်,47,0.07%,O:47,O:100.00%
အားဆေး,47,0.07%,O:47,O:100.00%
အေဇိုလာ,47,0.07%,CROP:47,CROP:100.00%
ငရုတ်,46,0.06%,CROP:46,CROP:100.00%
ရာတွင်,46,0.06%,O:46,O:100.00%
လက်ချား,46,0.06%,NUT:24; FERT:22,NUT:52.17%; FERT:47.83%
အတွင်း,46,0.06%,O:46,O:100.00%
ဂျစ်ဆမ်,45,0.06%,FERT:45,FERT:100.00%
စပါးပင်,45,0.06%,CROP:45,CROP:100.00%
ဆာလဖာ,45,0.06%,NUT:43; FUNG:2,NUT:95.56%; FUNG:4.44%
မြေဩဇာကျွေး,45,0.06%,FARM_OP:45,FARM_OP:100.00%
ဝါ,45,0.06%,SYM:32; CROP:13,SYM:71.11%; CROP:28.89%
သင်္ဘောပင်,45,0.06%,CROP:43; O:2,CROP:95.56%; O:4.44%
နေကြာ,43,0.06%,CROP:43,CROP:100.00%
ယင်ဖြူ,43,0.06%,PEST:43,PEST:100.00%
သော,43,0.06%,O:43,O:100.00%
ကွမ်း,42,0.06%,CROP:42,CROP:100.00%
နွားသေး,42,0.06%,FERT:40; PESTI:2,FERT:95.24%; PESTI:4.76%
ဖုံးအုပ်,42,0.06%,FARM_OP:42,FARM_OP:100.00%
ဝတ်မှုန်ကူး,42,0.06%,FARM_OP:42,FARM_OP:100.00%
နွေ,41,0.06%,SEASON:40; O:1,SEASON:97.56%; O:2.44%
မိုး,41,0.06%,WEATHER:20; SEASON:16; O:5,WEATHER:48.78%; SEASON:39.02%; O:12.20%
မိုးရွာ,41,0.06%,WEATHER:41,WEATHER:100.00%
အဇိုစီစထရိုဘင်,41,0.06%,FUNG:41,FUNG:100.00%
ကိုင်းဆက်,40,0.06%,FARM_OP:38; METHOD:2,FARM_OP:95.00%; METHOD:5.00%
ဂျစ်ဆန်,40,0.06%,FERT:40,FERT:100.00%
ထည့်,40,0.06%,FARM_OP:36; O:4,FARM_OP:90.00%; O:10.00%
ဖျန်းပက်,40,0.06%,FARM_OP:40,FARM_OP:100.00%
ခင်း,39,0.05%,LOC:25; O:14,LOC:64.10%; O:35.90%
တစ်နှစ်,39,0.05%,PERIOD:38; PER:1,PERIOD:97.44%; PER:2.56%
တည်သီး,39,0.05%,CROP:39,CROP:100.00%
ဘစ်စမာသိုင်ယာဇိုး,39,0.05%,FUNG:39,FUNG:100.00%
ကာဘင်ဒါဇင်,38,0.05%,FUNG:38,FUNG:100.00%
ကြက်သွန်နီ,38,0.05%,CROP:38,CROP:100.00%
ခြောက်,38,0.05%,SYM:38,SYM:100.00%
ဖရဲ,38,0.05%,CROP:38,CROP:100.00%
ဖြစ်သည်။,38,0.05%,O:38,O:100.00%
မျိုးကိုင်း,38,0.05%,CROP_PART:37; SEED:1,CROP_PART:97.37%; SEED:2.63%
မြေသြဇာ,38,0.05%,FERT:24; O:14,FERT:63.16%; O:36.84%
လက်ဖက်,38,0.05%,CROP:38,CROP:100.00%
သည်။,38,0.05%,O:38,O:100.00%
ငါးအမိုင်နို,37,0.05%,FERT:37,FERT:100.00%
ရောစပ်,37,0.05%,FARM_OP:37,FARM_OP:100.00%
သကြားဓာတ်,37,0.05%,NUT:37,NUT:100.00%
အောက်တိုဘာ,37,0.05%,TIME:37,TIME:100.00%
ကြက်သွန်,36,0.05%,CROP:36,CROP:100.00%
ခူး,36,0.05%,FARM_OP:36,FARM_OP:100.00%
ထုတ်လုပ်,36,0.05%,FARM_OP:36,FARM_OP:100.00%
မြက်,36,0.05%,WEED:36,WEED:100.00%
သခွား,36,0.05%,CROP:36,CROP:100.00%
အုန်း,36,0.05%,CROP:36,CROP:100.00%
၇ရက်,36,0.05%,PERIOD:36,PERIOD:100.00%
သစ်ခွ,35,0.05%,CROP:35,CROP:100.00%
၁၀ရက်,35,0.05%,PERIOD:35,PERIOD:100.00%
ကေဟူးမစ်,34,0.05%,FERT:34,FERT:100.00%
ကြက်သွန်ဖြူ,34,0.05%,CROP:34,CROP:100.00%
ကြံပင်,34,0.05%,CROP:34,CROP:100.00%
ညှိုး,34,0.05%,SYM:34,SYM:100.00%
တစ်ပတ်,34,0.05%,PERIOD:34,PERIOD:100.00%
ဓား,34,0.05%,EQUIP:34,EQUIP:100.00%
နိုဝင်ဘာ,34,0.05%,TIME:34,TIME:100.00%
ပျပိုး,34,0.05%,PEST:34,PEST:100.00%
ပျိုးအိတ်,34,0.05%,EQUIP:33; SEED:1,EQUIP:97.06%; SEED:2.94%
ဖျက်ပိုး,34,0.05%,PEST:34,PEST:100.00%
ရိတ်သိမ်းခြင်း,34,0.05%,FARM_OP:34,FARM_OP:100.00%
သင့်သည်။,34,0.05%,O:34,O:100.00%
အာဟာရဓာတ်,34,0.05%,NUT:34,NUT:100.00%
၁၅ရက်,34,0.05%,PERIOD:34,PERIOD:100.00%
ခြား,33,0.05%,O:33,O:100.00%
စိုထိုင်းဆ,33,0.05%,WEATHER:20; HUM:13,WEATHER:60.61%; HUM:39.39%
ထရိုင်ကိုဒါးမား,33,0.05%,FUNG:33,FUNG:100.00%
မိုက်ခရိုဂရင်း,33,0.05%,CROP:33,CROP:100.00%
အပူ,33,0.05%,WEATHER:33,WEATHER:100.00%
/,32,0.04%,O:32,O:100.00%
ဇန်နဝါရီ,32,0.04%,TIME:32,TIME:100.00%
တစ်အိတ်,32,0.04%,COUNT:21; QTY:11,COUNT:65.62%; QTY:34.38%
တမျိုးမျိုး,32,0.04%,O:32,O:100.00%
ထားသော,32,0.04%,O:32,O:100.00%
ဖေဖော်ဝါရီ,32,0.04%,TIME:32,TIME:100.00%
သဘာဝမြေဩဇာ,32,0.04%,FERT:31; O:1,FERT:96.88%; O:3.12%
အခြောက်ခံ,32,0.04%,FARM_OP:32,FARM_OP:100.00%
အပင်,32,0.04%,O:30; FARM_OP:1; FERT:1,O:93.75%; FARM_OP:3.12%; FERT:3.12%
အာလူး,32,0.04%,CROP:32,CROP:100.00%
၆လက်မ,32,0.04%,DIST:32,DIST:100.00%
ကွန်ပေါင်းမြေဩဇာ,31,0.04%,FERT:31,FERT:100.00%
စိုစွတ်,31,0.04%,WEATHER:31,WEATHER:100.00%
ပေးရပါမည်။,31,0.04%,O:31,O:100.00%
ပြောင်းရွှေ့စိုက်ပျိုး,31,0.04%,FARM_OP:31,FARM_OP:100.00%
များသည်,31,0.04%,O:31,O:100.00%
များ၊,31,0.04%,O:31,O:100.00%
ရေ,31,0.04%,O:31,O:100.00%
အဆီတာမီပရစ်,31,0.04%,PESTI:31,PESTI:100.00%
အိုး,31,0.04%,EQUIP:31,EQUIP:100.00%
စိမ်,30,0.04%,FARM_OP:30,FARM_OP:100.00%
ဆေးဖျန်းပုံး,30,0.04%,EQUIP:30,EQUIP:100.00%
နုန်းမြေ,30,0.04%,SOIL_TYPE:30,SOIL_TYPE:100.00%
ပန်းခိုင်,30,0.04%,CROP_PART:30,CROP_PART:100.00%
ပါသည်။,30,0.04%,O:30,O:100.00%
ပေါင်းသတ်ဆေး,30,0.04%,HERB:27; O:3,HERB:90.00%; O:10.00%
ပေးပါ,30,0.04%,O:30,O:100.00%
ပဲ,30,0.04%,CROP:24; O:6,CROP:80.00%; O:20.00%
အညွန့်,30,0.04%,CROP_PART:30,CROP_PART:100.00%
),29,0.04%,O:29,O:100.00%
ကန်စွန်း,29,0.04%,CROP:29,CROP:100.00%
ကြောင့်,29,0.04%,O:29,O:100.00%
ငွေနှင်းမှို,29,0.04%,CROP:29,CROP:100.00%
စစ်ဆေး,29,0.04%,FARM_OP:29,FARM_OP:100.00%
ထယ်ထိုး,29,0.04%,FARM_OP:29,FARM_OP:100.00%
ဖြင့်,29,0.04%,O:29,O:100.00%
ရန်,29,0.04%,O:29,O:100.00%
သင့်ပါသည်။,29,0.04%,O:29,O:100.00%
အဗာမက်တင်,29,0.04%,PESTI:29,PESTI:100.00%
အား,29,0.04%,O:29,O:100.00%
၃ပေ,29,0.04%,DIST:29,DIST:100.00%
စိုက်ချိန်,28,0.04%,TIME:27; O:1,TIME:96.43%; O:3.57%
ဖူး,28,0.04%,CROP_PART:28,CROP_PART:100.00%
သင့်ပါတယ်။,28,0.04%,O:28,O:100.00%
အဖူးကူး,28,0.04%,FARM_OP:28,FARM_OP:100.00%
ကြဲပက်,27,0.04%,FARM_OP:27,FARM_OP:100.00%
စက်တင်ဘာ,27,0.04%,TIME:27,TIME:100.00%
ဆန်,27,0.04%,FOOD:27,FOOD:100.00%
ဒီဇင်ဘာ,27,0.04%,TIME:27,TIME:100.00%
ပင်ခြေ,27,0.04%,CROP_PART:26; O:1,CROP_PART:96.30%; O:3.70%
ပင်သည်,27,0.04%,O:27,O:100.00%
ပရိုဖီနိုဖော့,27,0.04%,PESTI:27,PESTI:100.00%
ပေးရမည်။,27,0.04%,O:27,O:100.00%
အန်ပီကေ,27,0.04%,NUT:27,NUT:100.00%
အီမီဒါကလိုပရစ်,27,0.04%,PESTI:27,PESTI:100.00%
ကော့ပါး,26,0.04%,NUT:15; FUNG:11,NUT:57.69%; FUNG:42.31%
ဇင့်,26,0.04%,NUT:26,NUT:100.00%
ပေးနိုင်ပါတယ်။,26,0.04%,O:26,O:100.00%
ဘူး,26,0.04%,CROP:25; O:1,CROP:96.15%; O:3.85%
မှိုသတ်ဆေး,26,0.04%,FUNG:24; O:2,FUNG:92.31%; O:7.69%
သီးနှံ,26,0.04%,O:26,O:100.00%
ဟာ,26,0.04%,O:26,O:100.00%
အခေါက်,26,0.04%,CROP_PART:26,CROP_PART:100.00%
၂ကြိမ်,26,0.04%,COUNT:25; PERIOD:1,COUNT:96.15%; PERIOD:3.85%
ကြပါတယ်။,25,0.03%,O:25,O:100.00%
ခရမ်း,25,0.03%,CROP:25,CROP:100.00%
ဆေးလောင်,25,0.03%,SYM:24; ABIOD:1,SYM:96.00%; ABIOD:4.00%
ထို့ကြောင့်,25,0.03%,O:25,O:100.00%
နည်း,25,0.03%,O:25,O:100.00%
ပိုတက်ဆီယမ်,25,0.03%,NUT:25,NUT:100.00%
ဖျန်းပါ။,25,0.03%,O:25,O:100.00%
မြေဆွ,25,0.03%,FARM_OP:25,FARM_OP:100.00%
ရပါမည်။,25,0.03%,O:25,O:100.00%
ရွက်,25,0.03%,CROP_PART:21; O:4,CROP_PART:84.00%; O:16.00%
သီးတောင့်,25,0.03%,CROP_PART:25,CROP_PART:100.00%
၁ပေ,25,0.03%,DIST:25,DIST:100.00%
၁ဧက,25,0.03%,DIST:15; QTY:9; DIS:1,DIST:60.00%; QTY:36.00%; DIS:4.00%
ကလိုရိုသာလိုနေး,24,0.03%,FUNG:24,FUNG:100.00%
တွေကို,24,0.03%,O:24,O:100.00%
ထွန်,24,0.03%,EQUIP:15; FARM_OP:9,EQUIP:62.50%; FARM_OP:37.50%
ပိုး,24,0.03%,PEST:23; O:1,PEST:95.83%; O:4.17%
မိုးဦး,24,0.03%,SEASON:21; TIME:3,SEASON:87.50%; TIME:12.50%
မြေထုပ်စည်း,24,0.03%,FARM_OP:22; METHOD:2,FARM_OP:91.67%; METHOD:8.33%
မြေပြုပြင်,24,0.03%,FARM_OP:24,FARM_OP:100.00%
လှေး,24,0.03%,PEST:24,PEST:100.00%
ဟင်းသီးဟင်းရွက်,24,0.03%,FOOD:24,FOOD:100.00%
အ,24,0.03%,O:23; DIS:1,O:95.83%; DIS:4.17%
အထိ,24,0.03%,O:24,O:100.00%
အလင်းရောင်,24,0.03%,WEATHER:24,WEATHER:100.00%
၅ရက်,24,0.03%,PERIOD:24,PERIOD:100.00%
ကိုင်းကူး,23,0.03%,FARM_OP:23,FARM_OP:100.00%
ကြံမျိုးပိုင်း,23,0.03%,SEED:23,SEED:100.00%
ဆစ်ပိုး,23,0.03%,PEST:23,PEST:100.00%
ထွန်ယက်,23,0.03%,FARM_OP:23,FARM_OP:100.00%
ဓာတ်မြေဩဇာ,23,0.03%,FERT:21; O:2,FERT:91.30%; O:8.70%
ပရိုပီကိုနာဇိုး,23,0.03%,FUNG:23,FUNG:100.00%
ပေါင်းပင်,23,0.03%,WEED:23,WEED:100.00%
ဖရုံ,23,0.03%,CROP:23,CROP:100.00%
အခွံ,23,0.03%,CROP_PART:23,CROP_PART:100.00%
အမိုင်နို,23,0.03%,FERT:21; NUT:2,FERT:91.30%; NUT:8.70%
အိန္ဒိယ,23,0.03%,LOC:23,LOC:100.00%
ကနေ,22,0.03%,O:22,O:100.00%
ကိုရေ,22,0.03%,O:22,O:100.00%
ခရမ်းချဥ်,22,0.03%,CROP:22,CROP:100.00%
ခြင်း၊,22,0.03%,O:22,O:100.00%
ဂျင်း,22,0.03%,CROP:22,CROP:100.00%
ငါးအမိုင်နိုအက်စစ်,22,0.03%,FERT:22,FERT:100.00%
ဆေး,22,0.03%,O:22,O:100.00%
ဇွန်,22,0.03%,TIME:17; CROP:5,TIME:77.27%; CROP:22.73%
တီဘူကိုနာဇိုး,22,0.03%,FUNG:22,FUNG:100.00%
ဒိုင်မီသိုမော့,22,0.03%,FUNG:22,FUNG:100.00%
ပန်းပွင့်ချိန်,22,0.03%,TIME:22,TIME:100.00%
ပဲပင်,22,0.03%,CROP:22,CROP:100.00%
ပဲပုပ်,22,0.03%,CROP:22,CROP:100.00%
ပြောင်းရွှေ့စိုက်,22,0.03%,FARM_OP:22,FARM_OP:100.00%
ဖြတ်တောက်,22,0.03%,FARM_OP:22,FARM_OP:100.00%
မေလ,22,0.03%,TIME:22,TIME:100.00%
များတွင်,22,0.03%,O:22,O:100.00%
ယာစပါး,22,0.03%,CROP:22,CROP:100.00%
သို့သော်,22,0.03%,O:22,O:100.00%
သဲမြေ,22,0.03%,SOIL_TYPE:22,SOIL_TYPE:100.00%
၈လက်မ,22,0.03%,DIST:22,DIST:100.00%
ကလိုရန်ထရာနီလီပရိုး,21,0.03%,PESTI:21,PESTI:100.00%
ကိုင်းဖြတ်ခြင်း,21,0.03%,FARM_OP:21,FARM_OP:100.00%
ကြက်ချေး,21,0.03%,FERT:21,FERT:100.00%
ခါးရိရောဂါ,21,0.03%,DIS:21,DIS:100.00%
ချဉ်ပေါင်,21,0.03%,CROP:21,CROP:100.00%
စိုက်ပျိုးထုတ်လုပ်,21,0.03%,FARM_OP:21,FARM_OP:100.00%
တဲ့,21,0.03%,O:21,O:100.00%
ထယ်,21,0.03%,EQUIP:20; O:1,EQUIP:95.24%; O:4.76%
ပြီးမှ,21,0.03%,O:21,O:100.00%
မိုးရေချိန်,21,0.03%,WEATHER:21,WEATHER:100.00%
မေ,21,0.03%,TIME:21,TIME:100.00%
မြေစာဥ,21,0.03%,CROP:21,CROP:100.00%
ရိုးတံ,21,0.03%,CROP_PART:21,CROP_PART:100.00%
ရေပေးသွင်း,21,0.03%,FARM_OP:21,FARM_OP:100.00%
ရှမ်းပြည်နယ်,21,0.03%,LOC:21,LOC:100.00%
သိုင်ယာမီသောက်ဇမ်,21,0.03%,PESTI:21,PESTI:100.00%
ဟူးမစ်,21,0.03%,FERT:21,FERT:100.00%
အင်းဆက်,21,0.03%,PEST:19; O:2,PEST:90.48%; O:9.52%
အစိမ်းရောင်လမ်း,21,0.03%,ORG:21,ORG:100.00%
အဆီဖိတ်,21,0.03%,PESTI:19; NUT:2,PESTI:90.48%; NUT:9.52%
အတက်,21,0.03%,CROP_PART:21,CROP_PART:100.00%
အာဟာရ,21,0.03%,NUT:20; O:1,NUT:95.24%; O:4.76%
၂လ,21,0.03%,PERIOD:21,PERIOD:100.00%
၄လက်မ,21,0.03%,DIST:21,DIST:100.00%
ကယ်လ်ဆီယမ်,20,0.03%,NUT:20,NUT:100.00%
ချဉ်စော်ကား,20,0.03%,CROP:20,CROP:100.00%
ညနေ,20,0.03%,TIME:20,TIME:100.00%
ထိန်းသိမ်း,20,0.03%,FARM_OP:20,FARM_OP:100.00%
မြေဆီလွှာ,20,0.03%,SOIL_TYPE:13; O:7,SOIL_TYPE:65.00%; O:35.00%
ရို့စ်မေရီ,20,0.03%,CROP:20,CROP:100.00%
ရော,20,0.03%,O:20,O:100.00%
ရွက်ထွင်းပိုး,20,0.03%,PEST:20,PEST:100.00%
လူးနယ်,20,0.03%,FARM_OP:20,FARM_OP:100.00%
သား,20,0.03%,O:20,O:100.00%
အဇိုဇီစထရိုဘင်,20,0.03%,FUNG:20,FUNG:100.00%
အေးမြ,20,0.03%,WEATHER:20,WEATHER:100.00%
၁၅ပတ်လည်,20,0.03%,FERT:20,FERT:100.00%
၃လက်မ,20,0.03%,DIST:20,DIST:100.00%
၆လ,20,0.03%,PERIOD:20,PERIOD:100.00%
:,19,0.03%,O:19,O:100.00%
ကယ်လ်စီယမ်,19,0.03%,NUT:19,NUT:100.00%
ကုလားပဲ,19,0.03%,CROP:18; O:1,CROP:94.74%; O:5.26%
ခရမ်းချဉ်ပင်,19,0.03%,CROP:19,CROP:100.00%
ထုံး,19,0.03%,FERT:16; O:3,FERT:84.21%; O:15.79%
ထွန်မွှေ,19,0.03%,FARM_OP:19,FARM_OP:100.00%
ဒိုင်လေး,19,0.03%,PESTI:19,PESTI:100.00%
ပိုးမွှားရောဂါ,19,0.03%,DIS:19,DIS:100.00%
ပြီးနောက်,19,0.03%,O:19,O:100.00%
မဂ္ဂနီဆီယမ်,19,0.03%,NUT:19,NUT:100.00%
မုန်လာဥနီ,19,0.03%,CROP:19,CROP:100.00%
